GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prices,es.cristian.prices.infrastructure.controllers,LoginController,9,6,0,0,1,3,1,1,1,1
prices,es.cristian.prices.infrastructure.controllers,PriceController,0,52,0,0,0,8,0,3,0,3
prices,es.cristian.prices.infrastructure.config,MultiFormatDateConverter,6,31,1,1,1,8,1,2,0,2
prices,es.cristian.prices.infrastructure.config,SwaggerConfig,0,50,0,0,0,11,0,4,0,4
prices,es.cristian.prices,PricesApplication,5,3,0,0,2,1,1,1,1,1
prices,es.cristian.prices.application.mappers,PriceDTOMapperImpl,4,97,2,2,2,33,2,3,0,3
prices,es.cristian.prices.infrastructure.entities,PriceEntity,7,89,0,0,3,37,2,18,2,18
prices,es.cristian.prices.application.services.impl,PriceServiceImpl,0,24,0,0,0,5,0,3,0,3
prices,es.cristian.prices.infrastructure.mappers,PriceEntityMapperImpl,4,99,2,2,2,31,2,3,0,3
prices,es.cristian.prices.infrastructure.repositories.impl,PriceRepositoryImpl,0,26,0,0,0,6,0,3,0,3
prices,es.cristian.prices.application.exceptions,SearchNotFoundException,0,4,0,0,0,2,0,1,0,1
prices,es.cristian.prices.infrastructure.security,SecurityProperties,0,13,0,0,0,5,0,3,0,3
prices,es.cristian.prices.infrastructure.security,SecurityConfig,4,97,0,2,1,19,1,10,1,9
prices,es.cristian.prices.infrastructure.security,JwtAuthenticationFilter,0,38,2,4,0,11,2,3,0,2
prices,es.cristian.prices.infrastructure.security,JwtTokenProvider,3,65,0,0,2,13,0,5,0,5
prices,es.cristian.prices.infrastructure.security,AuthResponse,13,0,0,0,6,0,3,0,3,0
prices,es.cristian.prices.infrastructure.utils,GlobalExceptionHandler,58,11,0,0,11,2,5,2,5,2
prices,es.cristian.prices.domain.models,Price,0,51,0,0,0,18,0,9,0,9
prices,es.cristian.prices.application.dto,PriceRequestDTO,0,12,0,0,0,1,0,1,0,1
prices,es.cristian.prices.application.dto,PriceResponseDTO,0,21,0,0,0,1,0,1,0,1
